userName,score,at,content
Rosyid Azhar,5,2023-07-19 10:19:20,Tokcer
Kushjak 97,4,2023-07-19 08:52:57,Aplikasi bagus dari meta. Tinggal menambahkan fitur terjemahan bahasa untuk postingan dan komentar seperti di Instagram
Zehan Baihaqi,1,2023-07-19 08:39:43,Banyak privasi
Angga Pratama,1,2023-07-19 08:18:25,Pengambilan datanya ga ngotak
Fazallullah Habib,1,2023-07-19 07:22:30,"Mengapa saat mengunggah foto, fotonya jadi burik?"
Afdal Tanjung,5,2023-07-19 06:31:55,Keren
Mei Asterios,5,2023-07-19 04:57:25,"Why can't threads open on the web like Twitter? My storage is full! If it's possible on the web, it's nice to be able to use a laptop!"
HADID PILAR GAUTAMA,1,2023-07-19 02:39:31,Setelah saya menggunakan threads akun saya tidak bisa like dan follow orang di instagram.
Ruswandano • (omdanu7),5,2023-07-19 01:19:57,Saya kasih 5 bintang ya daripada bintang 7 pusing kepala 😁
Lay Cinly,2,2023-07-19 01:00:58,"susah buat scrolling beranda, lebih licin in kaya ig dong"
Yogi 1201,2,2023-07-18 23:11:37,"Ketika mencoba aplikasi baru, saya kira tidak perlu login dulu, apakah tiktok melakukannya.. saya kira tidak perlu mengunci seseorang dengam login ketika ini adiktif"
Imam Wahjono,5,2023-07-18 22:25:10,Perfect Apps 👍
Amalia simorangkir,4,2023-07-18 22:09:25,"Tolong beri translate pada threads nya saya melihat threads artis korea kesukaan saya,yang pakai hanggul saya gak ngerti🥲🥲🥲🥲🥲🥲"
HUMAIRA K.J,1,2023-07-18 22:03:08,knp akun threads ny hrs dtmbhin ke profil ig?!
Syafi'i,4,2023-07-18 21:42:03,Oke.
Pardy Sardy,2,2023-07-18 20:29:53,Aku rasa lebih bagus lagi kalau bisa tanpa terhubung Instagram
Anatashaatb,5,2023-07-18 19:57:25,Seneng Ig bisa buat apk kyk ginii <333
Bukan Siapa Siapa,4,2023-07-18 19:56:46,Gw beri rating 4 dulu. Kalau makin jelek yaudah kasih rating 2. Klo makin bagus ya kasih 5
ZETON player,5,2023-07-18 19:49:53,Makzukebrek berikan saya centang biru
Anjel Riotx,5,2023-07-18 18:29:23,Good
Sekar Arum,4,2023-07-18 14:29:17,"Sejauh ini app ringan & mudah digunakan, cuman untuk kolom search masih terbatas sehingga mohon diberikan logika tambahan berupa pencarian kata dari beberapa postingan threads sehingga dpt melakukan pencarian secara luas,, terimakasih"
Dhaifina Azha,5,2023-07-18 13:53:47,Yaa not bad lah ya
Indah Masrurotul Ula,3,2023-07-18 13:00:37,Minus gaada penerjemah
Bayu Gatra Wanarus,5,2023-07-18 12:37:00,"Aplikasinya keren kok banyak yg bilang lemot..tapi kok saya lancar2 aja ya, keren kok"
Ir Gyanzah,5,2023-07-18 12:34:44,Ok
Kin Family,5,2023-07-18 11:07:46,Sangat bagus
Akun Free fire,5,2023-07-18 10:46:30,keren
Ports Abble,4,2023-07-18 09:57:44,B aj
Hunna K Sulthon,1,2023-07-18 09:42:05,Buruk ga guna
Arief Budiman,3,2023-07-18 09:13:08,Belum ada fitur DM.
iyo dan iya Santomi,5,2023-07-18 09:08:12,Excellent to Zuckerberg and team
Rehan Rehan,5,2023-07-18 07:57:04,Mantapp
RSK_ Labibsyah,5,2023-07-18 07:50:12,"Sudah bagus cuma harus ada beberapa update lanjutan lagi, kita butuh banyak fitur untuk mendukung kami aktif di akun threads ."
Sigit Prasetyo,1,2023-07-18 00:23:28,Bagaimana caranya mau menggunakan aplikasi ini. Akun Instagram saya saja di NONAKTIFKAN.
shy kampank,3,2023-07-17 23:06:49,please provide the translate feature
Tama Grafer,2,2023-07-17 22:54:45,Mb nya terlalu besar menurut saya
popcorn games,1,2023-07-17 21:35:32,mending pakai mastodon
Aqilla Itsnayn,1,2023-07-17 21:23:45,Tiba tiba banyak yang login akun ig pas baru buat akun threads...dan skrng ig ku di hack gbisa balik lgi
Syauqinanram,1,2023-07-17 20:14:22,"Ini threads kenapa woyy😭 Di gue kok hari ketiganya gabisa post foto lagiii,,,padahal pas pertama mau ngepost foto fine fine aj...dari awal emang udah bingung sih mau download ini atau engga. Download ini juga terpaksa gegara bias ngepost di threads akhirnya ikutan. Pleasee buat developer nya perbaikiiiii cevattt gamau tau kalo sampe besok masih ngelag alamat hapus dah,,,"
Andes Parman,5,2023-07-17 19:36:46,Juaraa
Nandol Doank,1,2023-07-17 19:01:20,gabut aja pengen kasi rating bintang 1
KayyisGanz,5,2023-07-17 17:59:06,"Oh ini yg mau kelai sama Elon musk, btw jadi GK sih kelai nya kalo iya gw dukung dua duanya Elon musk vs lizard man (Mark Zuckerberg)"
Edeny Hazard,3,2023-07-17 17:54:25,Cuma minta beranda di isi sma orng² yg di follow and follback aja
Zikrullah,4,2023-07-17 16:58:43,Ini adalah ya Allah aku sedang Ada ada yang ingin Anda bisa yang ingin saya mua saya bisa adalah follow bisa yang ingin Anda karena ya gan bisa bagus saya mua saya masih
Fira Yunita,5,2023-07-17 16:53:35,tolong tambahkan fitur penerjemah
Sepia Octl,5,2023-07-17 16:33:42,Good
Moch Zainul Abidin,5,2023-07-17 16:26:35,Scrolnya agak susah mohon dibantu ya mulai seru neh
Ester Sihombing,1,2023-07-17 16:13:07,"gara""apk ini akun ig kesayangan saya jadi hilang bener""sy gk habis pikir"
Isna Choiron Nasikhin,3,2023-07-17 14:33:01,👍
Muhammad Lucky,5,2023-07-17 14:12:12,Enakan ini daripada Twitter
Steven Bongginata,4,2023-07-17 13:33:03,B aja
Muhammad Hanif Arwani,1,2023-07-17 11:17:01,Tidak bisa download foto dan vidio yang di upload
Danama Indah,3,2023-07-17 10:13:31,Di kasih 3 dulu kalau bagus di tambah lagi
Tristan Pratista,5,2023-07-17 10:00:05,Top
Tian Nugroho,5,2023-07-17 08:39:02,cocacolastic
IanAudrey,5,2023-07-17 08:18:26,Pysusi Gpis Qyhersi IAN Giyeusi
imam ardian,1,2023-07-17 08:12:12,Nothing special
Kurtz Kalonymus,1,2023-07-17 06:53:51,Beranda gak jelas Standar komunitas sama seperti facebook
Wahyudi Febrianto,5,2023-07-17 04:41:36,Good
Muhammad Adhitya Putra W.,5,2023-07-17 00:43:34,"Saya sebagai pengguna IG, saya udah mencoba aplikasi ini dari bulan ini✨ Saya suka sama Threads😍 Sukses terus ya Mr Zuck👏👏"
